Date,Country,Name,Class
23/01,ES,Classica Camp de Morvedre,1.1
24/01,ES,Gran Premio Castellón - Ruta de la Cerámica,1.1
25/01,ES,Clàssica Comunitat Valenciana - Gran Premi València,1.1
27/01 - 31/01,SA,AlUla Tour,2.Pro
01/02,FR,Grand Prix Cycliste de Marseille La Marseillaise,1.1
04/02 - 08/02,FR,Etoile de Bessèges - Tour du Gard,2.1
06/02,OM,Muscat Classic,1.Pro
07/02 - 11/02,OM,Tour of Oman,2.Pro
13/02 - 15/02,FR,Tour de la Provence,2.1
14/02,PT,Figueira Champions Classic,1.Pro
15/02,ES,Clasica de Almeria,1.Pro
18/02 - 22/02,ES,Vuelta a Andalucia Ruta Ciclista Del Sol,2.Pro
21/02,FR,Classic Var,1.1
22/02,FR,Tour des Alpes-Maritimes,1.1
25/02 - 01/03,IT,Giro di Sardegna,2.1
28/02,FR,Faun-Ardèche Classic,1.Pro
28/02,GR,Visit South Aegean GP,1.1
28/02,BE,Omloop Nieuwsblad,1.UWT
01/03,GR,Region on Dodecanese GP,1.1
01/03,FR,Faun Drome Classic,1.Pro
01/03,BE,Kuurne - Brussel - Kuurne,1.Pro
03/03,BE,Ename Samyn Classic,1.1
04/03,IT,Trofeo Laigueglia,1.Pro
08/03 - 15/03,FR,Paris-Nice,2.UWT
18/03,BE,Danilith Nokere Koerse,1.Pro
18/03,IT,Milano - Torino,1.Pro
19/03,FR,Grand Prix de Denain - Porte du Hainaut,1.Pro
20/03,BE,Bredene Koksijde Classic,1.Pro
21/03,IT,Milano-Sanremo,1.UWT
22/03,BE,Grote prijs Jean-Pierre Monseré,1.1
24/03 - 28/03,IT,Settimana Internazionale Coppi e Bartali,2.1
25/03,BE,Ronde Van Brugge - Tour of Bruges,1.UWT
27/03,BE,E3 Saxo Classic,1.UWT
29/03,IT,G.P. Emilia,1.1
29/03,FR,La Roue Tourangelle Centre Val de Loire - Groupama P.V.L.,1.1
29/03,BE,In Flanders Fields. From Middelkerke to Wevelgem ME,1.UWT
31/03,FR,Paris - Camembert,1.1
01/04,BE,Dwars door Vlaanderen - A travers la Flandre,1.UWT
03/04,FR,Classic Velox Adélie de Vitré,1.1
04/04,ES,Gran Premio Miguel Indurain,1.Pro
05/04,BE,Ronde van Vlaanderen,1.UWT
06/04,FR,Cholet Agglo Tour,1.1
06/04 - 11/04,ES,Itzulia Basque Country,2.UWT
07/04 - 10/04,FR,Région Pays de la Loire Tour,2.Pro
08/04,BE,Scheldeprijs,1.Pro
12/04,FR,Paris-Roubaix,1.UWT
15/04,BE,Ronde van Limburg,1.1
17/04,BE,De Brabantse Pijl - La Flèche Brabançonne,1.Pro
17/04,FR,Classic Grand Besançon Doubs,1.1
18/04,FR,Tour du Jura Cycliste,1.1
19/04,NL,Amstel Gold Race,1.UWT
22/04,BE,La Flèche Wallonne,1.UWT
26/04,BE,Liège-Bastogne-Liège,1.UWT
26/04 - 03/05,TR,Presidential Cycling Tour of Turkiye,2.Pro
01/05,DE,Eschborn-Frankfurt,1.UWT
09/05,FR,Grand Prix du Morbihan,1.Pro
10/05,FR,Tro-Bro Léon,1.Pro
13/05 - 17/05,HU,Tour de Hongrie,2.Pro
16/05,FR,Tour du Finistère Pays de Quimper,1.1
17/05,FR,Boucles de l'Aulne - Châteaulin,1.1
19/05,FR,Classique Dunkerque / Grand prix des Hauts de France,1.Pro
20/05 - 24/05,FR,4 Jours de Dunkerque / Grand Prix des Hauts de France,2.Pro
24/05,BE,Grand Prix Criquielion,1.1
25/05,BE,Antwerp Port Epic / Sels Trophy,1.1
28/05 - 31/05,FR,Boucles de la Mayenne - Crédit Mutuel,2.Pro
03/06,FR,Mercan'Tour Classic Alpes-Maritimes,1.1
06/06,BE,Heylen Vastgoed Heistse Pijl,1.1
07/06,BE,Brussels Cycling Classic,1.Pro
10/06,BE,Circuit Franco-Belge,1.Pro
13/06,BE,Duracell Dwars door het Hageland,1.1
14/06,DK,Copenhagen Sprint,1.UWT
14/06,BE,Muur Classic Geraardsbergen,1.1
17/06 - 21/06,BE,Baloise Belgium Tour,2.Pro
18/06 - 20/06,FR,La Route d'Occitanie - CIC,2.1
21/06,AD,Andorra MoraBanc Clàssica,1.1
04/07 - 26/07,FR,Tour de France,2.UWT
05/07 - 12/07,CN,Tour of Magnificent Qinghai,2.Pro
25/07,ES,Clásica de Ordizia - Ordiziako Klasikoa,1.1
26/07,ES,Clasica Castilla y Leon,1.1
28/07 - 30/07,FR,Tour de l'Ain,2.1
16/08,FR,La Polynormande,1.1
18/08 - 21/08,FR,Tour du Limousin-Périgord - Nouvelle Aquitaine,2.1
22/08 - 13/09,ES,La Vuelta Ciclista a España,2.UWT
25/08 - 28/08,FR,TPC en Nouvelle-Aquitaine,2.1
13/09,FR,GP de Fourmies / La Voix du Nord,1.Pro
27/09,FR,Paris-Chauny,1.1
04/10,FR,Tour de Vendée,1.1
11/10,FR,Paris - Tours Elite,1.Pro
